Index	Area	Diameter	Ellipse ratio	Circularity	Convexity	Elongation	Red cursor	Green cursor
1	89.702	10.687	0.653341	0.673837	0.82745	21.2473	817.104	817.104
2	41.9935	7.31216	0.603845	0.923555	0.966424	100	771.677	771.677
3	41.1652	7.23969	0.602304	0.820167	0.9357	45.0486	644.433	644.433
4	66.4275	9.19664	0.674097	0.870481	0.927267	68.397	604.719	604.719
5	46.2177	7.67112	0.821604	0.995885	0.950897	100	553.254	553.254
6	11.513	3.82868	0.744738	0.845071	0.973546	53.7042	493.147	493.147
7	43.8157	7.46913	0.772972	0.962962	0.954043	100	479.672	479.672
8	27.0017	5.86342	0.816685	0.889689	0.932904	100	402.179	402.179
9	93.1808	10.8923	0.715396	0.92975	0.944711	100	401.884	401.884
10	22.1149	5.30637	0.580274	0.80133	0.941929	40.1442	400.829	400.829
11	5.38378	2.61817	0.46729	0.832882	0.960992	49.064	397.459	397.459
12	8.7797	3.34345	0.576931	0.814692	0.927942	43.513	371.417	371.417
13	70.4861	9.47342	0.658817	0.782507	0.843178	36.1063	367.213	367.213
14	62.4518	8.91718	0.802218	0.938942	0.94163	100	347.988	347.988
15	25.925	5.74532	0.530321	0.703784	0.839735	24.3981	341.699	341.699
16	23.026	5.41457	0.60742	0.593016	0.69872	14.7361	330	330
17	57.7307	8.5735	0.661065	0.83573	0.951662	50.0673	327.867	327.867
18	35.5329	6.72621	0.416658	0.723913	0.884853	26.8349	318.977	318.977
19	17.2281	4.68353	0.781238	0.960768	0.97364	100	295.268	295.268
20	58.4761	8.62868	0.787037	0.893416	0.941074	100	292.94	292.94
21	59.1387	8.67743	0.559506	0.806158	0.883917	41.3057	289.555	289.555
22	27.83	5.95267	0.773858	0.871054	0.943071	68.8832	270.555	270.555
23	12.9211	4.05606	0.822454	0.954538	0.984762	100	262.083	262.083
24	39.5086	7.09253	0.799294	0.954498	0.96548	100	261.736	261.736
25	32.634	6.446	0.606622	0.812523	0.960657	42.9319	258.804	258.804
26	47.5429	7.78033	0.535865	0.860134	0.944058	61.177	255.142	255.142
27	17.0624	4.66096	0.459277	0.742457	0.897164	29.3646	245.739	245.739
28	27.0017	5.86342	0.52945	0.822991	0.928794	45.8825	235.859	235.859
29	27.9128	5.96152	0.604304	0.859658	0.974934	60.8979	208.773	208.773
30	21.3695	5.21617	0.74683	0.86217	0.956145	62.4145	208.146	208.146
31	10.5191	3.65969	0.473499	0.745916	0.905338	29.8715	202.647	202.647
32	7.28881	3.04637	0.790539	0.969112	0.978852	100	200.792	200.792
33	14.0806	4.23415	0.412157	0.785108	0.924876	36.6235	189.992	189.992
34	16.7311	4.61549	0.357525	0.66494	0.848857	20.4027	178.793	178.793
35	36.0299	6.77309	0.752963	0.916176	0.938063	100	176.394	176.394
36	102.457	11.4216	0.544265	0.663952	0.749244	20.3112	168.001	168.001
37	9.52514	3.4825	0.789254	0.869349	0.972819	67.4715	161.039	161.039
38	16.3998	4.56956	0.837853	0.996789	0.986935	100	160.555	160.555
39	8.36556	3.26364	0.675931	0.974553	0.968272	100	153.018	153.018
